Recipient.Organization,recipientcodename,year
Fundacion Promocion Social de la Cultura,NGOs,
SOS Kinderdorf,NGOs,
Caritas Chad,NGOs,
Afghan NGO Security Office,NGOs,
New Consultancy and Relief Organization,NGOs,
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs,
Afghan Women Association for Rehabilitation & Development,NGOs,
Oxfam Italia,NGOs,
Kolnische Franziskanerprovinz Bosnienhilfe,NGOs,
Danish Committee for Aid to Afghan Refugees,NGOs,
Somali Humanitarian Aid and Development Organization,NGOs,
International Media Support,NGOs,
African Development Solutions,NGOs,
Wamo Relief and Rehabilitation Services,NGOs,
Search for Common Ground,NGOs,
Heal Africa,NGOs,
Centre de Promotion Socio-Sanitaire,NGOs,
Comité dAppui í  lAuto Promotion,NGOs,
Alpha Ujuvi,NGOs,
CARITAS KINDU,NGOs,
Caritas Dev Kalemie,NGOs,
CARITAS BUNIA,NGOs,
Armée du Salut Kalemie,NGOs,
Action d'Espoir,NGOs,
Actions et Interventions pour le Développement et l'Encadrement Social,NGOs,
Caritas Kananga,NGOs,
Association Locale pour le Développement Intégral,NGOs,
Questscope,NGOs,
Plan Sweden,NGOs,
CARE USA,NGOs,
Mine Detection Centre,NGOs,
Humanitarian Aid Commission,NGOs,
HCC-Humanitäre Nothilfeprogramme weltweit,NGOs,
ASCHIANA,NGOs,
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs,
The Asia Foundation,NGOs,
Asian Disaster Preparedness Centre,NGOs,
Demining Agency for Afghanistan,NGOs,
Mine Clearance and Planning Agency,NGOs,
Clear Path International,NGOs,
Social Impact,NGOs,
InterAction,NGOs,
Plan USA,NGOs,
Caritas Austria,NGOs,
Terre des Hommes - Lausanne,NGOs,
Association Morija,NGOs,
Humanitarian Accountability Partnership International,NGOs,
International Council of Voluntary Agencies,NGOs,
Vento di Terra,NGOs,
International Coalition to Ban Uranium Weapons,NGOs,
International Work Group for Indigenous Affairs,NGOs,
Media Frontiers,NGOs,
Rehabilitation International,NGOs,
ETANA Press,NGOs,
NGO Mondo,NGOs,
Islamic Relief Pakistan,NGOs,
Hellef fir Rosario,NGOs,
Sudan Medical Care,NGOs,
Agronomes et Vétérinaires Sans Frontières,NGOs,
Medicos do Mundo,NGOs,
Joint Standards Initiative,NGOs,
Private Agencies Collaborating Together,NGOs,
Women and Children Child Care Organization,NGOs,
Wardi Relief and Development Initiatives,NGOs,
Somali Aid Foundations,NGOs,
Sustainable Development and Peace Building Initiatives,NGOs,
Tadamun Social Society,NGOs,
SWISSO - Kalmo,NGOs,
Serve Pastoralist International,NGOs,
Somali Young Doctors Association,NGOs,
Somali Relief and Development Society,NGOs,
Sage Organisation,NGOs,
Himilo Relief and Development Association,NGOs,
Humanitarian Initiative Just Relief Aid Organization,NGOs,
Southern Aid,NGOs,
DEH Relief and Development Organization,NGOs,
Somali Community Concern,NGOs,
Formal Education Network for Private Schools,NGOs,
Centre for Peace and Democracy,NGOs,
Swedish Christian Council,NGOs,
Solidaridad Internacional,NGOs,
Global Communities,NGOs,
ACT Alliance / Church World Service - Indonesia,NGOs,
Human Resources Development Agency,NGOs,
Afghanistan Development & Educational Organization,NGOs,
Shahrukhi Rehabilitation Project,NGOs,
ChildFund International,NGOs,
African Medical and Research Foundation,NGOs,
ACT Alliance / Church World Service,NGOs,
Mercy Malaysia,NGOs,
AMEL - Lebanese Association for Popular Action,NGOs,
Pour une Syrie libre,NGOs,
Gynécologie sans frontières,NGOs,
Volontariato Internazionale per lo Sviluppo,NGOs,
Cooperative Housing Foundation International,NGOs,
The Humanitarian Forum Yemen,NGOs,
Nahda Makers Organization,NGOs,
Sarhad Rural Support Programme,NGOs,
Campana Colombiana Contra Minas,NGOs,
CRC - NGO Group for the Convention on the Rights of the Child,NGOs,
Human Rights House Foundation,NGOs,
Action on Armed Violence,NGOs,
Sibro Organization for Development,NGOs,
Plan Indonesia,NGOs,
ACT Alliance / YAKKUM Emergency Unit,NGOs,
International Campaign to Ban Landmines,NGOs,
MISOLA,NGOs,
Agency for Cooperation and Research in Development,NGOs,
Groupe de Recherche et de Réalisations pour le Développement Rural,NGOs,
Federación Internacional Fe y Alegrí­a,NGOs,
Family Planning Organization of the Philippines,NGOs,
Japan Association for Refugees,NGOs,
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs,
Société Kolping,NGOs,
Welfare Association,NGOs,
ACF - UK,NGOs,
Czech Evang. Diacony,NGOs,
action medeor e.V.,NGOs,
VOICE ASBL,NGOs,
Provea - Venezolano de Educación-Acción en Derechos Humanos,NGOs,
Den norske Helsingforskomite,NGOs,
Internationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln,NGOs,
RedR,NGOs,
Vision Hope International,NGOs,
Raqeep Organization for Human Rights,NGOs,
World Vision Kenya,NGOs,
Woman Kind Kenya,NGOs,
ACT Alliance / National Council of Churches of Kenya,NGOs,
Merti Integrated Development Programme,NGOs,
Horn-Aid Kenya,NGOs,
CARE Kenya,NGOs,
Counterpart International,NGOs,
Centre for International Studies and Cooperation,NGOs,
Aadamiga USA,NGOs,
JUPEDEC (United Youth for the Protection of the Environment and Community Development),NGOs,
Charity Palestinian NGO,NGOs,
Kanz Humanitarian organization,NGOs,
Child Care Society,NGOs,
Armadilla S.c.s. Onlus,NGOs,
Stichting War Child,NGOs,
Social Humanitarian Economical Intervention for Local Development,NGOs,
Darya Organization for Developing Woman and Community,NGOs,
World Rehabilitation Fund,NGOs,
Shelter for Life,NGOs,
MADERA,NGOs,
Health Poverty Action,NGOs,
Alaska Sudan Medical Project,NGOs,
Standard Action Liaison Focus,NGOs,
Nuer Peace Council,NGOs,
IBIS,NGOs,
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs,
AMURT (Ananda Marga Universal Relief Team) (USA),NGOs,
Royal Health Awareness Society,NGOs,
ORA e. V. Deutsher Hilfsfonds,NGOs,
Plan Mali,NGOs,
Mennonite Central Committee,NGOs,
Arab Reporters for Investigative Journalism,NGOs,
Community Humanitarian Emergency Board,NGOs,
International Planned Parenthood Federation,NGOs,
Action de Dévelopement Durable en Afrique,NGOs,
Coalition to Stop Use of Child Soldiers,NGOs,
Frère des Hommes,NGOs,
International Commission of Jurists,NGOs,
Médecins sans Frontières - Norway,NGOs,
Coalition for the International Criminal Court,NGOs,
Geneva Call,NGOs,
Brookings Institute,NGOs,
Partnership Center for Development and Democracy,NGOs,
Freundschaftsbrucke Deutschland e.V.,NGOs,
Maarouf Saad Social and Cultural Foundation,NGOs,
National Institution of Social Care & Vocational Training,NGOs,
Canadian Journalists Free Expression,NGOs,
Transparency International,NGOs,
Minority Rights Group International,NGOs,
Det Norske Menneskerettighetsfond,NGOs,
International Service for Human Rights,NGOs,
International Volunteer Center of Yamagata,NGOs,
Peace Winds Japan,NGOs,
Kokkyo naki Kodomotachi (Children without Borders),NGOs,
Terre des Hommes - Germany,NGOs,
Shanti Volunteer Association,NGOs,
Reseau des Entrepreneurs Solidaires,NGOs,
Vétérinaire sans Frontieres,NGOs,
Mission am Nill,NGOs,
Arab Women Association,NGOs,
Center for International Studies and Cooperation,NGOs,
Magna Deti v nudzi [Magna Children at Risk],NGOs,
Canadian Physicians for Aid and Relief,NGOs,
Delvon Assistance for Social Harmony (DASH),NGOs,
Women And Health Alliance,NGOs,
Japan Asian Association and Asian Friendship Society,NGOs,
ACT Alliance / Act for Peace,NGOs,
Afghanistankomiteen i Norge,NGOs,
Aktion Deutschland Hilft,NGOs,
Action Solidarité Tiers Monde,NGOs,
World Vision Philippines,NGOs,
SOS Children's Villages,NGOs,
Telecom Sans Frontieres,NGOs,
ACT Alliance,NGOs,
Disasters Emergency Committee (UK),NGOs,
Médecins sans Frontières - Luxembourg,NGOs,
Institute of Cultural Affairs Japan,NGOs,
CWS Japan,NGOs,
Rural Agency for Community Development and Assistance,NGOs,
FilmAid International,NGOs,
RefuSHE (Former Heshima Kenya),NGOs,
World University Service - Canada,NGOs,
Danish People's Aid,NGOs,
Good Neighbours Inc,NGOs,
Cooperative for Assistance and Relief Everywhere,NGOs,
ACT Alliance / Christian Aid UK,NGOs,
World Association of Children's Friends,NGOs,
SAH - Schweizerisches Arbeiterhilfswerk,NGOs,
MediCuba-Suisse,NGOs,
International Health Partners,NGOs,
Thailand Burma Border Consortium,NGOs,
Humanitarian Relief Foundation,NGOs,
CANADEM,NGOs,
ACF - Canada,NGOs,
Agency for Rehabilitation and Development,NGOs,
Volunteer Organization for the International Co-operation la Nostra Famiglia,NGOs,
Oeuvre d'Orient,NGOs,
SAM - Schweizer Allianz Mission,NGOs,
NGO Safety Program,NGOs,
Participatory Rural Development Society,NGOs,
Islamic Help,NGOs,
Association for Gender Awareness and Human Empowerment,NGOs,
Badin Development Organization,NGOs,
Lead Against Marginality and Poverty,NGOs,
Rebatisseurs de la muraille des oeuvres de Dieu,NGOs,
International NGO Safety Organisation,NGOs,
Community Research and Development Organization,NGOs,
Balochistan Rural Development Society,NGOs,
Lamset Shifa,NGOs,
Al Mamoura Humanitarian Establishment,NGOs,
Caritas Haiti,NGOs,
Aertze der Welt e.V.,NGOs,
Charitable Society for Social Welfare,NGOs,
Nippon International Cooperation for Community Development,NGOs,
Benposta Nación de Muchachos,NGOs,
Danchurchaid / Danish De-mining Group,NGOs,
Action by Churches Together (ACT),NGOs,
Collectif du developpement et du secours syrien,NGOs,
Danmission,NGOs,
Hungarian Malteser Charity Service,NGOs,
Health Link South Sudan,NGOs,
Operation Save Innocent Lives - Partners in Relief and Development,NGOs,
Enfants Refugies du Monde,NGOs,
ZIF - Center for International Peace Operations,NGOs,
Care Czech Republic,NGOs,
World Vision Ireland,NGOs,
Aweil Relief Agency for Reintegration and Development,NGOs,
Damascus People Participation,NGOs,
Al Ihsan NGO,NGOs,
Civi Development Organization,NGOs,
Kurdistan Reconstruction and Development Society,NGOs,
Harikar NGO,NGOs,
Medical Aid for Palestinians,NGOs,
Centre canadien d'étude et de coopération internationale (CECI),NGOs,
Christian Children's Fund,NGOs,
Development and Peace,NGOs,
ACT Alliance / World Renew,NGOs,
International Islamic Charitable Organization,NGOs,
ACT Alliance / Canadian Lutheran World Relief,NGOs,
Union of Agricultural Work Committees,NGOs,
Dorcas Aid International,NGOs,
Yemen Family Care Association,NGOs,
Interaction in Development Foundation,NGOs,
Al-Ahleya Association for the development of palm and dates,NGOs,
Economic & Social Development Centre of Palestine,NGOs,
Palestinian Agricultural Relief Committees,NGOs,
Palestinian Environmental Friends,NGOs,
Alfajr Palestinian Youth Association,NGOs,
Actions Médicales Internationale,NGOs,
Ad Council,NGOs,
Global Human Rights Defence,NGOs,
Africa Humanitarian Action,NGOs,
Nyein (Shalom) Foundation,NGOs,
Lead Development Agency,NGOs,
Development and Regeneration Association,NGOs,
"Movimiento por la Paz, el Desarme y la Libertad",NGOs,
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",NGOs,
CAUSE Canada,NGOs,
NGO FORUM,NGOs,
Confident Children out of Conflict,NGOs,
Plan Sudan,NGOs,
Solo Enviro Beautification,NGOs,
Noon Charity Organization,NGOs,
Plan Ireland,NGOs,
Community Appraisal & Motivation Program,NGOs,
Frontier Primary Health Care,NGOs,
Prime Foundation,NGOs,
Pakistan Village Development Program,NGOs,
Ayuda en Acción,NGOs,
Interchurch Medical Assistance World Health,NGOs,
Japan Agency for Development and Emergency,NGOs,
SDGs Promise Japan,NGOs,
Japan Center for Conflict Prevention,NGOs,
OXFAM/Community Aid Abroad (OXFAM-Australia),NGOs,
CARE Australia,NGOs,
APHEDA,NGOs,
AUSTCARE - Australian Care for Refugees,NGOs,
Australians Care for Refugees,NGOs,
Caritas Norway,NGOs,
World Vision Australia,NGOs,
Atlas Alliance,NGOs,
Human Rights Foundation,NGOs,
International Dalit Solidarity Network,NGOs,
Just Peace Initiatives,NGOs,
Light for the World,NGOs,
Agence Humanitaire Africaine,NGOs,
Olympic Aid,NGOs,
Almassar Charity organization for Nomads Development and Environmental Conservation,NGOs,
Bienvenu Refugee Shelter,NGOs,
Global Aid Hand,NGOs,
Peace Bridge Association,NGOs,
SEEMA Center for Training and Protection of Women and Child's Rights,NGOs,
Vet-Care Organization,NGOs,
Institut Européen de Coopération et de Développement,NGOs,
Syria Sanad,NGOs,
Mouvement non violent syrien,NGOs,
CARE Luxembourg,NGOs,
Swedish Mission Council,NGOs,
Fundación Acción Contra el Hambre,NGOs,
Fundación Halu Bienestar Humano,NGOs,
Afghanistan Center for Training and Development,NGOs,
HealthNet International Transcultural Psychosocial Organization,NGOs,
Somali Development and Rehabilitation Organisation,NGOs,
Mission East,NGOs,
Freedom of Expression and of Association,NGOs,
Buddhistforbundet,NGOs,
Pharmaciens sans Frontières (France),NGOs,
Cairo Institute for Human Rights Studies,NGOs,
Masar,NGOs,
Lebanese Institute for Democracy and Human Rights,NGOs,
Community Media Network,NGOs,
Framtiden i våre hender,NGOs,
La Asociación Minga,NGOs,
"Association for Forests, Development and Conservation",NGOs,
René Moawad Foundation,NGOs,
Emmanuel International,NGOs,
Fida International,NGOs,
Médicos del Mundo Argentina,NGOs,
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,NGOs,
SHASSMEPPE,NGOs,
Farm Community Trust of Zimbabwe,NGOs,
Tides Center,NGOs,
Sama Al-Yemen Development Foundation,NGOs,
National Foundation for Development and Human Rights,NGOs,
Lutherian World Fund,NGOs,
Heartland Alliance International,NGOs,
World Relief Corporation,NGOs,
Coordination Of Rehabilitation Services For Afghanistan,NGOs,
Operation Mercy,NGOs,
Polish Humanitarian Organisation,NGOs,
Young Mens Christian Association,NGOs,
"Groupe antiraciste daccompagnement, et de defense des étrangers et migrants",NGOs,
France Terre dAsile,NGOs,
Helvetas Swiss Intercooperation,NGOs,
Hebrew Immigrant Aid Society,NGOs,
John Dau Foundation,NGOs,
Internews,NGOs,
Food Security Network,NGOs,
Civic Coalition for Palestinian Rights in Jerusalem,NGOs,
Centers for Disease Control Foundation,NGOs,
Plan Liberia,NGOs,
Asociación Salvadoreña de Ayuda Humanitaria,NGOs,
Medshare,NGOs,
Population Services International,NGOs,
Centre de Support en Santé Internationale,NGOs,
NetHope,NGOs,
DSI - Danish Council of Organizations of Disabled People,NGOs,
Hayat Foundation,NGOs,
ACT Alliance / Solidarité Protestante,NGOs,
Partners in Health,NGOs,
GlobalGiving,NGOs,
Direct Relief,NGOs,
Asamblea De Cooperacion Por La Paz,NGOs,
Sawa Organization,NGOs,
Union of Health Work Committees,NGOs,
Americares,NGOs,
Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGOs,
PARCIC,NGOs,
Vitalité Plus,NGOs,
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,NGOs,
Metta Development Foundation,NGOs,
Innovative Humanitarian Solutions,NGOs,
German Doctors e.V.,NGOs,
Medicus Mundi,NGOs,
Jubbalandese Charity Centre,NGOs,
Planete Urgence,NGOs,
La chaine de l'espoir,NGOs,
Instituto Dominicano de Desarrollo Integral,NGOs,
Protecting Through Education,NGOs,
Handicap International USA,NGOs,
Global Network for Disaster Reduction,NGOs,
World Neighbors,NGOs,
Centro de Estudios y Prevencion de Desastres,NGOs,
Women's Education Partnership,NGOs,
Louvain-Developpement,NGOs,
Women's Refugee Commission,NGOs,
Management Sciences for Health,NGOs,
Care Peru,NGOs,
Hungarian Baptist  Aid Organisation,NGOs,
Islamic Center Society,NGOs,
irshad and islah society lebanon,NGOs,
Yemen Medical Charitable Society,NGOs,
dawa Islamic organization,NGOs,
Qatar Charity,NGOs,
Comité d'Aide Médicale,NGOs,
Ockenden International,NGOs,
A.I.M.E! International e.V. (Deutschland),NGOs,
Hope in Action,NGOs,
CARE-UK,NGOs,
NCA+partners,NGOs,
Heart to Heart International,NGOs,
Urgence Solidarité Syrie,NGOs,
VENRO,NGOs,
SOS Sahel International,NGOs,
Social Services Program,NGOs,
Community Development Organization,NGOs,
Bent-e-Hawa Peace and Development Organization,NGOs,
Rebuild and Relief International NGO gGmbH,NGOs,
